,screen_porch,misc_val,mo_sold,yr_sold,saleprice,total_sf
0,0,0,3,2010,130500,2204.0
1,0,0,4,2009,220000,3035.0
2,0,0,1,2010,109000,2114.0
3,0,0,4,2010,174000,1828.0
4,0,0,3,2010,138500,2121.0
5,0,0,6,2010,190000,3405.0
6,0,0,6,2006,140000,1619.0
7,0,0,5,2010,142000,2376.0
8,0,400,6,2007,112500,1848.0
9,0,0,9,2007,135000,3120.0
10,0,0,7,2008,85400,1470.0
11,0,0,2,2006,183600,2416.0
12,0,0,6,2009,131000,2016.0
13,0,0,12,2008,200000,2567.0
14,0,0,6,2008,193000,2712.0
15,0,0,3,2010,173500,2860.0
16,0,0,5,2008,98000,1968.0
17,0,0,6,2009,139000,2242.0
18,0,0,4,2007,143500,1945.0
19,0,0,6,2010,215200,2303.0
20,0,0,5,2007,129000,1788.0
21,0,0,10,2009,278000,3160.0
22,0,0,7,2006,344133,3462.0
23,0,500,3,2010,185000,2355.0
24,0,0,1,2006,145000,2112.0
25,288,0,4,2009,187500,2906.0
26,0,0,4,2010,138500,1788.0
27,0,0,7,2008,198000,2880.0
28,0,0,6,2007,119600,2948.0
29,0,2000,7,2007,122900,1596.0
30,0,0,7,2009,278000,5048.0
31,0,0,6,2006,230000,2309.0
32,216,0,4,2006,270000,2988.0
33,0,0,4,2007,125000,1896.0
34,0,0,9,2009,297000,3423.0
35,0,0,4,2009,113500,1302.0
36,0,0,7,2006,127000,2232.0
37,0,0,1,2010,190000,3688.0
38,0,0,9,2007,175500,2484.0
39,0,0,7,2007,146000,1980.0
40,0,0,6,2008,147500,2512.0
41,0,0,9,2006,465000,4152.0
42,0,0,7,2009,165500,2207.0
43,0,0,11,2008,131500,2845.0
44,0,0,2,2008,129500,2080.0
45,0,0,6,2008,257076,2481.0
46,0,0,7,2009,117000,2588.0
47,0,0,2,2008,149000,2278.0
48,0,0,2,2010,128000,2119.0
49,0,0,10,2008,155000,2390.0
50,0,0,6,2006,166000,2280.0
51,0,0,12,2009,135000,3103.0
52,440,2000,7,2006,250000,4176.0
53,0,0,3,2010,76000,1638.0
54,0,0,6,2006,155000,1791.0
55,0,0,3,2010,158000,2015.0
56,0,0,2,2010,149500,1800.0
57,0,0,3,2006,121000,1872.0
58,0,0,6,2007,136000,2080.0
59,0,0,11,2008,173000,2552.0
60,0,0,4,2010,290000,3422.0
61,0,0,8,2007,303477,3794.0
62,0,0,4,2010,270000,2903.0
63,0,0,6,2008,122250,2676.0
64,0,0,7,2009,153000,2764.0
65,0,0,12,2007,147000,2240.0
66,0,0,6,2007,148500,1629.0
67,0,0,4,2006,130000,2684.0
68,0,0,6,2007,372000,3604.0
69,0,0,4,2006,213490,2868.0
70,0,0,1,2010,308030,3016.0
71,0,0,9,2008,300000,3872.0
72,0,0,7,2006,159500,1849.0
73,0,0,4,2006,137500,2679.0
74,0,0,4,2006,232000,3232.0
75,0,0,7,2008,93850,1536.0
76,0,0,4,2006,105000,1744.0
77,0,0,5,2008,68500,1040.0
78,0,0,1,2010,154300,3379.0
79,0,0,9,2007,129850,2537.0
80,0,0,6,2007,114000,1848.0
81,0,0,7,2009,501837,4450.0
82,0,0,6,2008,153900,2292.0
83,0,0,7,2009,130000,1728.0
84,0,0,4,2008,160500,2378.0
85,0,0,6,2006,310090,3332.0
86,0,0,8,2009,184900,2376.0
87,0,0,6,2007,132000,1856.0
88,0,650,8,2009,163000,2624.0
89,0,0,4,2010,155000,1800.0
90,216,0,5,2008,183000,2854.0
91,0,0,6,2007,211000,2852.0
92,0,0,10,2009,184000,2294.0
93,0,0,6,2009,118858,1535.0
94,0,0,4,2010,180500,2304.0
95,0,0,2,2007,166000,2292.0
96,140,0,3,2009,148000,2276.0
97,0,0,1,2007,124000,1968.0
98,0,0,8,2007,277500,3122.0
99,0,0,6,2006,350000,4068.0
100,0,0,9,2008,387000,3768.0
101,0,0,7,2007,86000,1133.0
102,0,0,5,2008,290000,3097.0
103,0,0,9,2009,44000,1042.0
104,0,0,6,2009,215000,2765.0
105,0,0,7,2006,146500,2346.0
106,0,0,4,2006,165000,2055.0
107,0,0,8,2007,136000,3240.0
108,0,0,10,2006,252000,3095.0
109,0,0,6,2010,175500,2390.0
110,182,0,10,2009,150000,2248.0
111,0,600,8,2007,139900,2400.0
112,0,0,6,2008,162900,2651.0
113,385,0,2,2010,160000,2232.0
114,0,0,6,2009,63900,660.0
115,0,0,5,2009,184000,2847.0
116,100,0,11,2006,149900,2932.0
117,0,0,7,2008,300000,3252.0
118,0,0,12,2008,145000,2709.0
119,0,0,8,2009,231500,2692.0
120,0,0,7,2008,108000,1992.0
121,0,0,11,2009,120000,2404.0
122,0,0,10,2007,128500,1976.0
123,0,0,3,2010,115000,2036.0
124,0,0,4,2009,110000,2004.0
125,0,0,6,2008,150000,3938.0
126,0,0,10,2006,178000,2121.0
127,104,0,5,2006,199500,2246.0
128,0,0,5,2006,183500,2338.0
129,100,0,7,2008,126000,2280.0
130,0,0,9,2008,148500,2110.0
131,0,0,8,2009,149000,2028.0
132,0,0,5,2009,137900,2311.0
133,0,0,5,2008,324000,3438.0
134,0,0,4,2008,98000,1728.0
135,0,0,2,2008,103400,1470.0
136,0,0,5,2010,94000,1800.0
137,0,0,8,2007,209500,3108.0
138,0,0,9,2006,545224,4918.0
139,168,0,5,2010,159900,2340.0
140,0,0,6,2010,141000,1728.0
141,0,0,4,2006,215000,2871.0
142,0,0,4,2010,127000,2080.0
143,0,0,6,2010,128000,2344.0
144,0,0,4,2010,267916,3060.0
145,120,0,11,2007,127500,2251.0
146,0,0,7,2009,198500,1922.0
147,0,0,6,2008,175500,2844.0
148,0,0,7,2007,217500,2827.0
149,0,0,6,2010,149500,2850.0
150,0,1200,7,2009,148800,1984.0
151,0,0,7,2006,556581,4860.0
152,216,0,6,2009,156500,2956.0
153,0,0,7,2006,237000,2925.0
154,0,480,6,2007,120000,1824.0
155,0,2000,6,2007,203000,2652.0
156,0,0,8,2006,130000,2395.0
157,189,0,6,2008,167900,2391.0
158,0,0,5,2006,129000,1920.0
159,0,0,5,2006,134450,2306.0
160,0,0,8,2007,112000,2232.0
161,144,0,5,2007,207000,2802.0
162,0,0,9,2009,62500,3168.0
163,0,0,10,2008,154000,2390.0
164,0,0,7,2006,129900,1632.0
165,0,0,4,2010,85000,1648.0
166,0,0,8,2008,116900,1683.0
167,0,0,4,2009,148500,2296.0
168,0,0,7,2010,80000,1596.0
169,0,0,3,2008,152000,2186.0
170,0,0,1,2010,155891,1373.0
171,0,0,2,2007,165000,2144.0
172,0,0,4,2010,204500,2436.0
173,0,0,6,2007,146500,2372.0
174,0,0,4,2009,157000,2872.0
175,0,0,12,2008,184000,3808.0
176,0,0,6,2006,183200,2292.0
177,0,0,9,2009,139000,2184.0
178,0,0,8,2008,341000,3729.0
179,0,0,2,2010,96000,1470.0
180,0,0,3,2010,140000,2242.0
181,0,0,4,2010,149700,2148.0
182,0,0,7,2006,153500,2130.0
183,0,0,2,2008,13100,733.0
184,0,0,7,2008,224900,2652.0
185,0,0,4,2006,176000,2523.0
186,0,0,4,2007,285000,4555.0
187,0,0,8,2007,282922,2949.0
188,0,0,5,2006,226000,3081.0
189,0,0,7,2006,361919,3810.0
190,0,0,3,2006,457347,4196.0
191,0,0,5,2007,279000,2709.0
192,0,0,5,2009,196000,3134.0
193,0,0,6,2009,152000,2460.0
194,0,0,8,2009,200000,3882.0
195,0,0,8,2006,294900,3160.0
196,0,0,2,2009,224243,2900.0
197,0,0,5,2006,92000,2170.0
198,0,0,7,2007,179540,2184.0
199,0,0,6,2009,386250,4784.0
200,0,0,7,2007,106500,1522.0
201,0,0,4,2009,310000,3024.0
202,0,0,5,2007,252000,3451.0
203,126,0,8,2007,164000,2564.0
204,0,0,7,2007,177594,2184.0
205,0,0,5,2010,123900,1568.0
206,0,0,11,2007,239000,3994.0
207,0,0,6,2010,169000,2332.0
208,0,0,10,2006,234000,2931.0
209,120,0,11,2009,173000,2244.0
210,0,700,3,2010,149000,2008.0
211,0,0,3,2008,170000,2324.0
212,0,0,10,2009,225000,2872.0
213,0,0,5,2008,144900,1920.0
214,0,0,6,2010,144000,2392.0
215,144,0,4,2010,192000,2525.0
216,0,0,3,2009,145500,2062.0
217,0,0,3,2006,86900,1168.0
218,0,0,2,2009,149500,3010.0
219,0,0,6,2007,119750,1874.0
220,0,0,8,2006,173900,2250.0
221,0,0,1,2006,136500,2100.0
222,0,0,12,2006,270000,4749.0
223,0,0,3,2008,235000,2854.0
224,0,0,3,2009,156000,1814.0
225,0,0,6,2009,153000,2228.0
226,0,0,6,2009,165000,2448.0
227,0,0,6,2008,325000,3626.0
228,144,0,10,2007,140000,2083.0
229,0,0,4,2007,202500,3035.0
230,224,0,10,2008,367294,3404.0
231,0,0,8,2008,175000,2970.0
232,0,0,2,2006,140000,2473.0
233,0,0,7,2007,174000,2505.0
234,0,0,7,2008,190000,2022.0
235,0,0,3,2009,129000,1968.0
236,201,0,7,2007,200000,3244.0
237,252,0,6,2009,193500,3038.0
238,0,0,7,2008,145000,2184.0
239,0,0,2,2006,218000,2693.0
240,348,0,4,2006,135000,1488.0
241,0,0,7,2006,146500,3068.0
242,0,0,6,2007,194700,2724.0
243,0,0,4,2008,230348,2436.0
244,0,0,3,2010,109500,2192.0
245,0,0,9,2006,242500,3250.0
246,0,0,6,2006,239000,2831.0
247,0,0,6,2006,156000,2100.0
248,0,0,7,2008,109008,1814.0
249,0,0,3,2007,68104,845.0
250,0,0,6,2008,290000,3743.0
251,0,0,4,2010,159000,2418.0
252,0,0,9,2008,87000,1254.0
253,0,2000,5,2010,272000,3182.0
254,0,0,9,2006,198000,2672.0
255,0,0,5,2008,119164,2457.0
256,0,0,4,2006,93000,1124.0
257,0,0,7,2008,226750,2874.0
258,0,0,8,2009,95000,2677.0
259,0,0,3,2010,139900,2196.0
260,0,450,5,2010,76500,2034.0
261,0,0,7,2008,86900,1344.0
262,0,500,2,2008,152500,2273.0
263,0,3000,5,2008,99000,1841.0
264,0,0,12,2009,82500,1128.0
265,0,0,7,2007,179200,3150.0
266,0,0,6,2006,142500,2118.0
267,0,0,7,2007,115400,2010.0
268,0,0,5,2007,226000,2986.0
269,0,0,4,2006,144152,1800.0
270,0,0,7,2008,370000,4455.0
271,0,0,4,2010,149900,1666.0
272,0,0,5,2006,172785,2184.0
273,0,0,7,2007,129000,1728.0
274,0,0,1,2009,181000,2948.0
275,120,0,2,2006,148000,2428.0
276,0,0,4,2006,117250,1828.0
277,0,0,5,2009,192500,2928.0
278,0,0,7,2008,151000,2272.0
279,0,0,3,2007,112500,1764.0
280,126,0,5,2007,144000,2082.0
281,0,0,6,2008,370967,3600.0
282,0,0,6,2010,149900,2311.0
283,0,0,7,2009,195000,2491.0
284,0,0,7,2007,163900,1866.0
285,168,0,2,2007,182000,2712.0
286,0,0,7,2009,410000,4226.0
287,0,0,4,2009,152000,3177.0
288,0,0,4,2006,184000,2577.0
289,0,0,11,2008,206300,2688.0
290,0,0,3,2006,146500,3304.0
291,0,0,2,2010,108000,2169.0
292,0,0,9,2006,170000,2490.0
293,0,0,2,2008,145000,1696.0
294,0,0,8,2009,123000,2112.0
295,0,0,11,2008,173000,2582.0
296,0,0,5,2010,105900,1344.0
297,0,0,11,2009,91000,1450.0
298,0,0,10,2009,158000,2590.0
299,0,0,4,2009,190000,2592.0
300,0,0,8,2008,217500,2469.0
301,0,0,1,2008,165500,3106.0
302,0,0,7,2009,174500,2268.0
303,0,0,11,2008,100000,1620.0
304,0,12500,6,2010,172000,2658.0
305,0,0,9,2007,120000,1743.0
306,0,0,9,2009,82000,1562.0
307,0,0,10,2006,127000,2096.0
308,0,0,4,2008,129500,2793.0
309,0,0,8,2009,187500,2580.0
310,0,0,6,2008,300000,3564.0
311,0,0,6,2006,190000,2818.0
312,0,0,3,2007,96000,2313.0
313,0,0,10,2009,241000,2642.0
314,0,0,3,2007,143900,2836.0
315,0,0,12,2006,87550,1638.0
316,0,0,2,2010,319900,3504.0
317,0,0,7,2006,356383,3567.0
318,0,0,5,2009,239000,3600.0
319,0,0,7,2008,287500,3277.0
320,0,0,5,2007,128500,2102.0
321,0,0,4,2010,185088,2580.0
322,0,0,5,2009,229800,2804.0
323,0,0,12,2007,124500,1751.0
324,0,0,7,2006,142000,2102.0
325,0,0,6,2006,149000,2265.0
326,0,0,11,2008,135000,3312.0
327,0,0,2,2007,128000,2036.0
328,0,0,5,2007,430000,6428.0
329,0,0,6,2007,145000,2080.0
330,0,0,11,2007,139000,1911.0
331,147,0,1,2007,178000,2453.0
332,192,0,6,2008,460000,4410.0
333,0,0,7,2009,214500,2978.0
334,0,0,7,2006,160000,2614.0
335,0,0,6,2009,214000,3052.0
336,0,0,6,2009,128900,2279.0
337,0,0,3,2007,168000,2871.0
338,0,0,12,2007,310013,2835.0
339,0,0,10,2007,170000,2162.0
340,0,0,7,2006,133700,2080.0
341,53,0,8,2007,165000,2104.0
342,0,0,8,2008,89500,1470.0
343,0,0,3,2006,140000,1683.0
344,0,0,5,2006,134000,2679.0
345,224,3000,10,2006,248500,2567.0
346,0,0,5,2006,145000,1608.0
347,0,0,2,2006,179900,2265.0
348,0,0,2,2007,147000,3590.0
349,0,0,3,2010,136000,1898.0
350,0,0,3,2010,128000,1768.0
351,0,0,9,2009,88750,1264.0
352,0,0,6,2010,122500,1944.0
353,0,0,1,2010,97500,2370.0
354,0,0,10,2006,135000,2016.0
355,260,0,7,2007,314813,3650.0
356,0,0,10,2009,85000,2539.0
357,0,0,7,2009,134900,1874.0
358,0,0,3,2006,137000,2114.0
359,0,0,8,2008,350000,4222.0
360,0,0,9,2006,145000,2330.0
361,0,0,5,2007,418000,4462.0
362,0,0,6,2006,64000,1638.0
363,0,0,7,2009,159434,2313.0
364,0,0,7,2007,260261,3084.0
365,0,0,6,2010,166000,2295.0
366,0,0,10,2007,130000,1832.0
367,0,0,11,2006,112000,2112.0
368,0,0,12,2008,155000,2248.0
369,0,0,5,2010,269500,2742.0
370,0,0,11,2006,172000,2492.0
371,0,0,7,2007,219500,2540.0
372,0,0,10,2006,133500,1850.0
373,0,0,12,2007,170000,1814.0
374,0,0,4,2010,150000,2496.0
375,0,0,7,2008,130000,1934.0
376,0,0,3,2006,143000,2288.0
377,164,0,5,2008,140000,2228.0
378,0,0,2,2007,244000,4446.0
379,0,0,3,2007,101000,1641.0
380,0,4500,7,2006,125000,1920.0
381,0,0,4,2008,183000,2565.0
382,0,0,7,2009,104000,2984.0
383,0,0,6,2008,112500,1920.0
384,0,0,5,2006,207500,3372.0
385,0,0,3,2006,225000,3228.0
386,0,0,3,2006,119900,1728.0
387,0,0,9,2006,293000,3461.0
388,0,0,7,2006,180000,3182.0
389,0,0,5,2010,169900,2046.0
390,0,0,4,2010,112000,1902.0
391,0,0,5,2010,152000,2137.0
392,0,0,8,2006,300000,3296.0
393,0,0,3,2010,107000,2146.0
394,0,0,4,2010,122500,3067.0
395,0,0,7,2006,89000,1431.0
396,0,0,3,2010,95000,1519.0
397,0,0,9,2007,143450,2064.0
398,0,0,1,2010,376162,3924.0
399,143,0,4,2010,167500,2532.0
400,0,0,6,2009,153337,2310.0
401,0,0,7,2009,103600,2041.0
402,0,0,2,2010,128200,1788.0
403,0,0,6,2010,177500,2329.0
404,0,0,6,2010,320000,3921.0
405,0,0,6,2009,190000,2308.0
406,0,0,4,2006,91500,1890.0
407,0,0,11,2009,93000,2198.0
408,0,0,7,2008,40000,1966.0
409,0,0,3,2007,127000,2039.0
410,0,0,6,2010,50138,1708.0
411,0,0,5,2007,148000,2256.0
412,0,0,2,2008,120500,1518.0
413,0,0,7,2009,139500,2267.0
414,0,0,2,2009,320000,3396.0
415,0,0,4,2007,219000,3272.0
416,0,0,6,2006,131000,1766.0
417,0,0,3,2007,171925,2233.0
418,0,0,11,2008,177900,2732.0
419,0,0,4,2007,141500,2021.0
420,0,0,10,2009,191000,2588.0
421,0,0,5,2006,158000,2316.0
422,0,0,11,2007,248900,3284.0
423,0,0,6,2007,175000,2499.0
424,0,460,6,2006,185900,2752.0
425,0,0,10,2006,163000,2648.0
426,0,0,10,2006,115000,2056.0
427,0,0,12,2008,157500,2104.0
428,0,0,5,2009,245000,3489.0
429,0,0,10,2008,180000,2674.0
430,0,0,3,2007,148800,1653.0
431,0,0,3,2008,237000,3159.0
432,0,0,1,2009,60000,728.0
433,0,0,4,2008,165000,1489.0
434,0,0,8,2008,240000,3456.0
435,0,0,8,2007,160000,2355.0
436,0,0,7,2006,128000,2120.0
437,0,0,6,2008,82000,1152.0
438,342,0,7,2009,256000,3129.0
439,0,0,7,2009,143000,2132.0
440,0,0,4,2007,231713,3378.0
441,0,0,11,2007,155000,2524.0
442,0,0,4,2008,128500,1632.0
443,0,0,4,2008,168000,2652.0
444,0,0,6,2007,184000,2204.0
445,0,0,3,2006,124000,2050.0
446,0,0,2,2009,185000,2884.0
447,0,0,11,2006,230500,3342.0
448,0,0,5,2006,227000,2993.0
449,0,0,2,2009,173500,2214.0
450,0,0,8,2006,140000,1731.0
451,0,0,8,2008,247000,2920.0
452,0,0,6,2009,149900,1490.0
453,0,0,5,2008,158000,2038.0
454,0,0,6,2010,147110,1610.0
455,0,0,6,2006,119500,2156.0
456,0,0,2,2009,205000,2407.0
457,0,0,7,2007,148000,2270.0
458,0,0,3,2010,236500,3211.0
459,0,0,7,2006,137000,2609.0
460,0,0,2,2009,122000,1920.0
461,0,0,8,2007,176485,2604.0
462,0,0,7,2006,109000,1632.0
463,0,0,9,2007,330000,3004.0
464,0,0,12,2008,143000,1325.0
465,0,0,7,2007,410000,4486.0
466,0,0,7,2007,201000,2649.0
467,0,0,2,2006,80000,2837.0
468,0,0,7,2007,259500,3348.0
469,0,0,7,2007,279900,3608.0
470,0,0,5,2010,154000,2492.0
471,0,500,6,2007,277000,3588.0
472,0,0,3,2006,128000,1949.0
473,0,0,7,2009,256300,3166.0
474,0,0,11,2007,188000,2685.0
475,0,0,5,2006,312500,3600.0
476,0,0,6,2010,151000,1800.0
477,0,0,8,2007,122500,2130.0
478,0,0,7,2008,188000,2531.0
479,0,0,5,2006,209700,2754.0
480,0,0,1,2007,441929,4454.0
481,0,0,10,2008,163000,2566.0
482,0,0,7,2007,187500,2919.0
483,0,0,6,2009,220000,2975.0
484,0,0,3,2007,127000,2056.0
485,0,0,4,2010,107500,827.0
486,0,0,6,2008,128000,2226.0
487,0,0,6,2008,73000,1444.0
488,0,0,8,2006,374000,3584.0
489,0,0,1,2008,421250,4128.0
490,0,0,12,2009,178000,2401.0
491,0,0,4,2008,137500,2319.0
492,0,0,8,2008,301500,3973.0
493,0,0,3,2009,105000,1825.0
494,0,0,8,2006,157500,1952.0
495,0,0,9,2007,117000,2183.0
496,0,0,2,2006,105000,1728.0
497,0,0,3,2008,115000,2703.0
498,0,0,7,2009,360000,3472.0
499,0,0,6,2009,118858,1535.0
500,0,0,7,2008,173000,2432.0
501,0,0,11,2009,78500,1355.0
502,0,0,5,2007,183500,2560.0
503,0,0,2,2009,93000,1872.0
504,0,0,11,2007,226500,2995.0
505,0,0,5,2009,178000,2370.0
506,0,0,6,2007,226000,2932.0
507,0,0,4,2009,173000,2416.0
508,0,0,12,2009,62383,1728.0
509,0,0,11,2008,446261,4165.0
510,0,0,5,2006,160000,2103.0
511,0,0,5,2008,219990,2969.0
512,0,0,7,2008,191000,2947.0
513,150,0,8,2007,136500,1816.0
514,0,0,8,2007,80000,943.0
515,0,0,2,2006,229000,3387.0
516,0,0,6,2010,236000,2999.0
517,108,0,9,2007,392000,3648.0
518,0,0,8,2009,149000,2650.0
519,94,0,2,2008,345000,3363.0
520,0,0,6,2006,169000,2730.0
521,0,0,7,2007,109900,1726.0
522,0,0,11,2006,188000,2996.0
523,0,0,5,2009,132500,2192.0
